class_id,class_title,R,G,B,fix
0,code_1,0,0,255,1
1,code_2,0,105,255,1
2,code_3,0,144,255,1
3,code_4,0,173,255,1
4,code_5,0,197,255,1
5,code_6,0,218,255,1
6,code_7,0,236,255,1
7,code_8,99,0,255,1
8,code_9,137,0,255,1
9,code_10,165,0,255,1
10,code_11,188,0,255,1
11,code_12,207,0,255,1
12,code_13,225,0,255,1
13,code_14,240,0,255,1
14,code_15,0,255,0,1
15,code_16,0,255,99,1
16,code_17,0,255,137,1
17,code_18,0,255,165,1
18,code_19,0,255,188,1
19,code_20,0,255,214,1
20,code_21,0,255,225,1
21,code_22,255,0,0,1
22,code_23,255,99,0,1
23,code_24,255,137,0,1
24,code_25,255,165,0,1
25,code_26,255,188,0,1
26,code_27,255,214,0,1
27,code_28,255,225,0,1
28,code_29,99,255,0,1
29,code_30,137,255,0,1
30,code_31,165,255,0,1
31,code_32,188,255,0,1
32,code_33,214,255,0,1
33,code_34,225,255,0,1
34,code_35,240,255,0,1
35,code_36,255,0,99,1
36,code_37,255,0,137,1
37,code_38,255,0,165,1
38,code_39,255,0,188,1
39,code_40,255,0,214,1
40,code_41,255,0,225,1
41,code_42,255,0,240,1
42,code_43,255,99,255,1
43,code_44,255,137,255,1
44,code_45,255,165,255,1
45,code_46,255,188,255,1
46,code_47,0,188,137,1
47,code_48,99,137,188,1
48,code_49,99,188,225,1
